epoch,loss,lr,mean_absolute_error,mean_squared_error,val_loss,val_mean_absolute_error,val_mean_squared_error
0,13.128390312194824,1e-04,12.083754539489746,662.7601928710938,10.34043025970459,9.417651176452637,107.70069122314453
1,5.614903450012207,1e-04,4.791985988616943,35.38299560546875,4.555063724517822,3.82991886138916,25.854440689086914
2,4.316980838775635,1e-04,3.67145037651062,22.450523376464844,3.733672618865967,3.166018009185791,20.104084014892578
3,4.357118606567383,1e-04,3.8527493476867676,24.434925079345703,4.636261940002441,4.193669319152832,27.981271743774414
4,3.8530876636505127,1e-04,3.460486888885498,19.881946563720703,4.5161542892456055,4.172276496887207,28.251998901367188
5,3.4222450256347656,1e-04,3.117677688598633,16.0197811126709,3.6864826679229736,3.4201767444610596,21.220834732055664
6,3.2111575603485107,1e-04,2.9756133556365967,15.190634727478027,3.7750024795532227,3.569319725036621,19.918075561523438
7,3.5333800315856934,1e-04,3.3516170978546143,19.91098403930664,3.0127604007720947,2.854158639907837,14.472302436828613
8,4.66284704208374,1e-04,4.522719383239746,31.05356788635254,3.8389861583709717,3.7167303562164307,21.69015884399414
9,3.524237632751465,1e-04,3.4161367416381836,18.637981414794922,2.7706797122955322,2.6762266159057617,12.989456176757812
10,3.62908673286438,1e-04,3.545408248901367,20.310762405395508,2.946673631668091,2.8733580112457275,15.517544746398926
11,4.002901554107666,1e-04,3.9377284049987793,23.80208969116211,2.8795814514160156,2.8222362995147705,13.251968383789062
12,2.8556270599365234,1e-04,2.804431200027466,13.657652854919434,2.8699254989624023,2.8246214389801025,13.5206937789917
13,2.877155065536499,1e-04,2.8364574909210205,14.002459526062012,2.734477996826172,2.6981799602508545,12.620770454406738
14,2.833418130874634,1e-04,2.800551652908325,13.413403511047363,2.847764253616333,2.8181798458099365,13.275086402893066
15,3.1529598236083984,1e-04,3.1259517669677734,15.925904273986816,3.646503448486328,3.6219489574432373,22.006620407104492
16,3.337238311767578,1e-04,3.314586877822876,18.634479522705078,2.7072978019714355,2.686476230621338,12.03250503540039
17,3.0121896266937256,1e-04,2.9927709102630615,14.84698486328125,2.8501548767089844,2.83205246925354,14.202164649963379
18,2.819246768951416,1e-04,2.8021724224090576,13.416508674621582,2.4986929893493652,2.482599973678589,10.986027717590332
19,3.1081631183624268,1e-04,3.0928239822387695,15.233677864074707,2.553710699081421,2.5390994548797607,10.80606460571289
20,2.797734260559082,1e-04,2.783702850341797,12.994921684265137,2.3668670654296875,2.353365898132324,9.978202819824219
21,2.627851724624634,1e-04,2.6147568225860596,11.661952018737793,2.54036283493042,2.527655601501465,11.199503898620605
22,3.1580092906951904,1e-04,3.14560866355896,16.36646842956543,2.514450788497925,2.502335548400879,10.558112144470215
23,2.765392541885376,1e-04,2.753528594970703,13.175094604492188,2.717219829559326,2.7055296897888184,13.554976463317871
24,2.951474666595459,1e-04,2.9398908615112305,14.501633644104004,2.4507625102996826,2.4392833709716797,10.452953338623047
25,2.549931287765503,1e-04,2.538541555404663,11.492216110229492,2.5798230171203613,2.568434000015259,11.45256519317627
26,2.532369375228882,5e-05,2.5209715366363525,11.176985740661621,2.296031951904297,2.284630298614502,9.60000991821289
27,2.1573386192321777,5e-05,2.1459474563598633,8.65643310546875,2.1909916400909424,2.1795859336853027,8.899903297424316
28,2.3006834983825684,5e-05,2.2892534732818604,9.479323387145996,2.2446985244750977,2.2332398891448975,9.433673858642578
29,2.228317975997925,5e-05,2.2168493270874023,9.06902027130127,2.196146249771118,2.18464994430542,9.075027465820312
30,2.2717719078063965,5e-05,2.2602450847625732,9.188644409179688,2.1906070709228516,2.1790385246276855,8.980215072631836
31,2.057034730911255,5e-05,2.0454277992248535,8.091903686523438,2.1880881786346436,2.1764233112335205,9.136547088623047
32,2.147160530090332,5e-05,2.1354401111602783,8.497736930847168,2.0835177898406982,2.0717291831970215,8.171056747436523
33,1.9980411529541016,5e-05,1.9862054586410522,7.667568206787109,2.2415432929992676,2.2296431064605713,9.206891059875488
34,2.261333703994751,5e-05,2.2493646144866943,9.192802429199219,2.076396942138672,2.0643622875213623,8.311358451843262
35,1.9927926063537598,5e-05,1.980698823928833,7.7614827156066895,2.076540470123291,2.0643563270568848,8.234013557434082
36,2.124375104904175,5e-05,2.112105131149292,8.35494613647461,2.1216447353363037,2.1093056201934814,8.866605758666992
37,2.041154146194458,5e-05,2.0287675857543945,7.8689446449279785,2.133437395095825,2.1209566593170166,8.52481746673584
38,2.0292460918426514,5e-05,2.016655683517456,7.878983974456787,1.93082594871521,1.9181523323059082,7.5620222091674805
39,1.9229298830032349,5e-05,1.910130262374878,7.198558330535889,2.0496292114257812,2.0366716384887695,7.9260945320129395
40,2.006552219390869,5e-05,1.9934625625610352,7.72410774230957,1.8666974306106567,1.8535144329071045,6.914456844329834
41,1.8901735544204712,5e-05,1.8768898248672485,6.982854843139648,1.8428418636322021,1.8294390439987183,6.789423942565918
42,2.034086227416992,5e-05,2.0205531120300293,7.592824459075928,1.8764349222183228,1.862809658050537,6.884985446929932
